"YEAR","CASEID","FAMINCOME","HH_CHILD","PERNUM","LINENO","DATE","WT06","AGE","SEX","RACE","MARST","POPSTAT","EDUC","EMPSTAT","RETIRED","FULLPART","HOURWAGE_CPS8","SPOUSEPRES","SPSEX","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_HHACT","BLS_LEIS","BLS_OTHER","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","BLS_WORK_SEARCH"
2019,20190403192325,13,0,1,1,20190417,4495146.462981000,61,2,110,6,1,40,1,99,1,999.99,3,99,0,0,3,0,33,249,30,526,67,0,525,0
2019,20190403192327,16,1,1,1,20190406,3715475.088741000,39,2,100,1,1,41,1,99,1,999.99,1,1,220,0,0,0,216,332,27,500,50,0,0,0
2019,20190403192328,6,0,1,1,20190406,5851023.517070000,21,2,100,6,1,30,4,99,99,9.25,3,99,0,0,0,0,60,345,0,618,377,0,0,0
2019,20190403192330,11,0,1,1,20190416,9638310.375282000,73,1,201,3,1,31,5,1,99,999.99,3,99,0,0,22,0,142,321,0,630,282,0,0,0
2019,20190403192333,3,0,1,1,20190413,8180597.317959000,44,1,110,4,1,17,5,99,99,999.99,3,99,0,25,0,0,45,670,10,660,0,0,0,0
2019,20190403192334,15,1,1,1,20190414,7151560.446040000,35,1,110,1,1,40,1,99,1,999.99,1,2,110,0,0,0,180,300,0,540,70,180,0,0
2019,20190403192341,13,0,1,1,20190411,7199444.188594000,68,2,100,4,1,40,5,1,99,999.99,3,99,0,250,5,0,50,285,135,585,70,0,0,0
2019,20190403192346,11,0,1,1,20190422,10904402.26164500,74,1,110,6,1,21,5,1,99,999.99,3,99,0,0,113,0,73,456,110,507,96,85,0,0
2019,20190403192347,14,1,1,1,20190412,9223638.031124000,34,2,100,1,1,40,5,99,99,29.0,1,1,121,0,0,0,358,240,45,601,0,5,0,0
2019,20190403192350,11,0,1,1,20190408,6437812.499962000,80,1,100,3,1,40,5,1,99,999.99,3,99,0,0,10,0,198,492,25,605,95,0,0,0
2019,20190403192353,13,1,1,1,20190407,1774216.603292000,42,2,100,4,1,30,1,99,1,21.0,3,99,125,0,0,0,430,270,0,540,0,0,0,0
2019,20190403192354,10,1,1,1,20190407,6273776.323747000,42,2,110,6,1,21,1,99,1,13.75,1,1,5,0,0,0,496,364,0,520,0,0,0,0
2019,20190403192355,14,1,1,1,20190410,34197260.57436500,36,1,110,1,1,32,1,99,1,40.0,1,2,66,0,0,0,77,68,0,410,60,20,694,0
2019,20190403192365,11,0,1,1,20190409,4436756.179108000,64,1,120,4,1,40,5,1,99,999.99,3,99,0,0,0,0,525,255,0,480,120,0,0,0
2019,20190403192369,12,1,1,1,20190427,10775160.18269400,41,1,100,1,1,21,1,99,1,20.83,1,2,0,0,0,0,410,94,0,501,420,0,0,0
2019,20190403192371,10,0,1,1,20190406,8214512.128540000,61,2,100,5,1,40,1,99,1,999.99,3,99,0,17,0,0,380,239,0,654,120,0,0,0
